urn,name,comments,lon,lat
urn:uuid:29670e64-66c1-4ee3-ba83-df0fa10cf7f7,25 West End,Cabbages and Cushions,53.7411192,-2.0143161
urn:uuid:6917c20a-c3d1-4c6f-bba1-3a9829a736e8,23 West End,Hebden Cleaners,53.741116,-2.0142376
urn:uuid:3ee046b8-bd74-4e58-ba51-8fa51fd0be0c,21A West End,Ifones,53.7411136,-2.0141719
urn:uuid:9e1b4f8e-5e4f-46ef-9297-5d4d93bf9bd0,21 West End,Olive Branch,53.7411142,-2.0140891
urn:uuid:815bc7a9-d38f-4aea-94a8-4813936a4ed4,19 West End,Wood and Wire,53.7411204,-2.0139708
urn:uuid:5dcd865a-5613-42ef-97cd-421f1877d5e8,17 West End,Max's Jewellers & Workshop,53.7411005,-2.0138729
urn:uuid:4a4dba0c-866c-464c-933f-267e185a0547,Holme Street,Post Office,53.7406917,-2.0141297
urn:uuid:e8e863c5-a35c-40a3-84c2-bc9435c3d5a6,Holme Street,Trades Club,53.7405298,-2.0142866
urn:uuid:60c44966-5b13-4df5-950a-00386f4525aa,Holme Street,Hebden Bridge Little Theatre,53.7404521,-2.014351
urn:uuid:6273d72d-b7ed-42d0-9734-1955980a15b0,6 Bridge Gate,William Holt,53.7412037,-2.013772
urn:uuid:58aac741-e4a6-4412-a959-d0077779c2f2,26 New Road,Willow Garden,53.7411413,-2.0136185
urn:uuid:15e2ede4-c5ba-4fdb-8188-fba542751258,22 New Road,The Closet,53.7410775,-2.0134542
urn:uuid:69ebf537-764b-4c1a-9b20-877818492892,24 New Road,Hair and There,53.741104,-2.0135487
urn:uuid:7bae3565-af37-4249-b78d-b8d605a86d01,20 New Road,Peter David Properties,53.7410537,-2.0133724
urn:uuid:0a7a2d3b-32d3-44bb-8c9a-dae11517d9c2,New Road,Café on T'Front,53.7409541,-2.0129975
urn:uuid:45f19344-21af-4289-9dfd-4936a737c64f,New Road,Hope Baptist Church,53.7408566,-2.0124801
urn:uuid:6799bf38-e46a-4d89-982f-0844fbb507a0,5 Hope Street,Francine Turner,53.7407757,-2.0121917
urn:uuid:69a03c9c-aa94-4a6a-82f6-e12c9a548fd6,18 New Road,Paradise Takeaway,53.7407412,-2.012108
urn:uuid:cab5296d-96ee-488d-a38a-3892f60eef90,16 New Road,Hebden Bridge Dental Care,53.7407162,-2.0120094
urn:uuid:c0da97e1-1fa4-49b8-9279-866d433decbd,12 New Road,The Railway,53.7406698,-2.0118196
urn:uuid:f77ab41e-3250-43af-b0ba-1f6d7597a641,10 New Road,Moyles B&B,53.74065,-2.0116909
urn:uuid:cb7682fd-768b-415d-9c31-1a7ec16fe466,Butlers Wharf New Road,Rim Nam Thai,53.7403605,-2.0120945
urn:uuid:f2e1672b-9637-4262-abd0-8286e4e49a67,Butlers Wharf New Road,Flying Saucers Painting Pottery Cafe,53.7404179,-2.0120856
urn:uuid:77ad7d9b-7655-4121-bdff-4e8e76d15a25,Butlers Wharf New Road,Blow Hair Studio,53.7404412,-2.0122151
urn:uuid:9c8fd765-a498-41fc-aab5-ab9a9074b6f2,New Road New Road,Hebden Bridge Visitor Centre,53.7405619,-2.0121481
urn:uuid:ac3f48e4-cd6e-4f04-9fad-044b1ae94006,1 New Road,Valley Private Hire,53.7406651,-2.0123748
urn:uuid:7f35ce0f-fbd2-475e-a7cf-bf9233f4b0ba,New Road,Hebden Bridge Picture House,53.740692,-2.0124901
urn:uuid:dcb2a0d1-d201-40d8-b660-fd66f650fd25,"Unit 3, The Picture House Cinema New Road",Milk Bar,53.740715,-2.0125893
urn:uuid:aac90161-5321-4ad9-8062-46adbb5fff1f,Holme Street,Riverside Junior School,53.7405921,-2.0144361
urn:uuid:444d1051-f0db-4c19-97f7-9d8df46ed477,Church Lane,St. James Hebden Bridge,53.7432964,-2.0254043
urn:uuid:6490df8e-7b89-4271-91fc-10f071735b08,St. George's Square,Country Stores,53.7421625,-2.012335
urn:uuid:c7ac60ad-2f26-4cf4-819e-6445f75749e0,54 Market Street,Kip McGrath Education Centre,53.7412929,-2.0180792
urn:uuid:ea8dae2d-1097-4c35-b758-5915c39c551d,Bridge Gate,White Lion,53.7423724,-2.0118298
urn:uuid:e0cfc850-761d-4e70-9376-38fcfbfc9a79,Crown Street,Overgate Hospice shop,53.7412333,-2.0131397
urn:uuid:64709de0-70bd-42e6-a12b-02d440a88fb5,Albert Street,Jack's Barbers,53.741718,-2.0116816
urn:uuid:84a759e1-55a7-4010-bb2b-507129666223,Bridge Gate,The Barn Home and Gifts,53.7422598,-2.0120283
urn:uuid:f2ff0194-e44a-4252-a034-ddb68b470242,7 Old Gate,Menagerie Pet and Garden Supplies,53.7415657,-2.0145548
urn:uuid:8afc60f2-0c78-419b-9dd9-1d4c80eb5e0b,14 New Road,Hebden Bridge Spiritualist Church,53.7406921,-2.0119162
urn:uuid:58411f5f-cb66-483a-9414-28d9ad3e5c15,13 New Road,Gina B Glass,53.740387,-2.0111376
urn:uuid:ec37056a-5081-4113-a6b6-f50b0f968152,New Road,Bronte Boat Hire,53.7401905,-2.0113031
urn:uuid:479d65fe-2258-475d-b69d-a06255fba929,Crown Street,Oasis News,53.7418207,-2.0121205
urn:uuid:5e6d709d-c52c-49c4-8510-17ea6c4e4c91,Crown Street,Pennine Provisions,53.7416969,-2.0125214
urn:uuid:fcbbe460-f731-48fa-9e7a-715874f7642c,,Love Grows,53.7422573,-2.0119267
urn:uuid:835d37ab-dd3e-475d-904b-0c9bc6a941ff,Garden Street,Jules Pottery & China,53.7417474,-2.0116045
urn:uuid:c09add00-a173-4e35-a904-ab4f3c0f5625,Hope Street,N G Jewellers,53.7414285,-2.0118935
urn:uuid:dd287497-2ad1-4a7f-ab33-1f733f900ab7,Hollins Place,Brocante Country Homeware,53.7421456,-2.0119317
urn:uuid:df8aae41-8c90-44e6-94d4-d89ad49f4fa3,5 Old Gate,Kiddies Corner,53.7415832,-2.0144582
urn:uuid:61125fce-fd21-41e8-9f0c-a26c86dd12f0,7 Hangingroyd Road,Beads,53.7413817,-2.0173631
urn:uuid:6be90871-a0f1-4295-9ba1-1b725158866d,8 New Road,Former (Moyles) hotel,53.7406135,-2.011546
urn:uuid:e84c3d1a-3474-41f6-a8aa-25e8387115f6,Station House Station Road,Hebden Bridge Private Day Nursery,53.7376743,-2.0085359
urn:uuid:48c74ce6-aa8f-4d0f-8b54-6c2e7444ff91,Bridge Gate,Shoulder of Mutton,53.7422208,-2.0126214
urn:uuid:588d0136-644d-4128-9c88-d66976e72388,Bridge Gate,Laundrette,53.7420626,-2.0128681
urn:uuid:4a02a7c8-5e62-41cd-88f7-87cb2a48ff17,Bridge Gate,Coffee Cali,53.7420205,-2.0129439
urn:uuid:618eef9c-e343-4f87-8a8d-f08bff6ab66c,Bridge Gate,Lamppost Cafe,53.7417294,-2.0133663
